model	ratio	V_in	F_in	V_out	F_out	time_total_ms	time_build_ms	time_simplify_ms	heap_push	heap_pop	local_recompute_edges	skipped_invalid	nonmanifold_rejects	consistency_ok	qem_err_mean	qem_err_max	degenerate_faces	aspect_mean
Arma	0.100000	23201	46398	2322	4640	441.624	62.620	371.263	217106	196219	147509	91	0	1	0.00006583	0.00110589	0	2.768574
Arma	0.200000	23201	46398	4642	9280	393.832	81.715	299.405	200813	155912	131216	82	0	1	0.00002003	0.00015367	0	2.731386
Arma	0.300000	23201	46398	6962	13920	391.560	70.477	301.266	184552	121073	114955	78	0	1	0.00001021	0.00004942	0	2.767225
Arma	0.400000	23201	46398	9282	18560	357.440	66.356	263.222	168347	90297	98750	66	0	1	0.00000625	0.00002266	0	2.823303
Arma	0.500000	23201	46398	11601	23198	291.881	66.588	194.144	152194	61214	82597	53	0	1	0.00000418	0.00001202	0	2.769786
Arma	0.600000	23201	46398	13921	27838	282.663	84.802	158.515	136034	38591	66437	34	0	1	0.00000292	0.00000700	0	2.664199
Arma	0.700000	23201	46398	16241	32478	245.588	69.755	127.246	119749	23164	50152	25	0	1	0.00000205	0.00000434	0	2.538225
Arma	0.800000	23201	46398	18561	37118	206.587	73.996	81.121	103271	12717	33674	16	0	1	0.00000134	0.00000266	0	2.392268
Arma	0.900000	23201	46398	20881	41758	179.304	66.237	45.600	86508	5162	16911	7	0	1	0.00000071	0.00000133	0	2.235887
Block	0.100000	2132	4272	210	428	30.270	3.293	26.449	20985	18056	14577	435	0	1	0.00787137	0.24124830	0	30.152228
Block	0.200000	2132	4272	423	854	29.771	3.144	25.641	19592	12793	13184	426	0	1	0.00062628	0.01015855	0	21.629699
Block	0.300000	2132	4272	637	1282	27.634	3.348	23.072	18084	11463	11676	398	0	1	0.00012927	0.00152656	0	15.290978
Block	0.400000	2132	4272	850	1708	24.486	3.190	19.804	16442	10763	10034	356	0	1	0.00002460	0.00033680	0	14.836800
Block	0.500000	2132	4272	1064	2136	21.892	3.245	16.847	14641	9739	8233	305	0	1	0.00000190	0.00003260	0	63.631703
Block	0.600000	2132	4272	1278	2564	17.799	3.426	12.307	12900	7040	6492	94	0	1	0.00000013	0.00000120	0	75.142718
Block	0.700000	2132	4272	1491	2990	15.649	3.305	9.921	11221	4252	4813	26	0	1	0.00000002	0.00000011	0	49.210557
Block	0.800000	2132	4272	1705	3418	11.203	3.340	5.455	9616	1982	3208	11	0	1	0.00000001	0.00000002	0	38.778614
Block	0.900000	2132	4272	1918	3844	9.440	3.282	3.098	8049	822	1641	5	0	1	0.00000000	0.00000001	0	33.419039
Buddha	0.100000	61512	123056	6137	12306	1512.916	284.981	1197.671	577987	524085	393403	173	1	1	0.00000980	0.00014837	0	3.196729
Buddha	0.200000	61512	123056	12290	24612	1507.541	327.102	1132.960	534938	429710	350354	136	0	1	0.00000308	0.00002559	0	2.932065
Buddha	0.300000	61512	123056	18442	36916	1320.401	294.373	956.266	491941	337464	307357	106	0	1	0.00000141	0.00000818	0	2.641374
Buddha	0.400000	61512	123056	24595	49222	1255.453	333.039	830.459	448790	266140	264206	86	0	1	0.00000074	0.00000349	0	2.389577
Buddha	0.500000	61512	123056	30748	61528	1086.257	285.124	684.888	405455	207217	220871	66	0	1	0.00000040	0.00000163	0	2.184345
Buddha	0.600000	61512	123056	36901	73834	1033.258	309.143	546.696	361682	155147	177098	50	0	1	0.00000021	0.00000077	0	2.018036
Buddha	0.700000	61512	123056	43054	86140	892.644	303.131	398.751	317742	107798	133158	39	0	1	0.00000010	0.00000034	0	1.864967
Buddha	0.800000	61512	123056	49206	98444	783.591	301.863	259.648	273581	67002	88997	24	0	1	0.00000004	0.00000013	0	1.729865
Buddha	0.900000	61512	123056	55359	110750	667.134	291.172	119.252	229201	34273	44617	15	0	1	0.00000001	0.00000003	0	1.614971
Bunny	0.100000	35292	70580	3531	7058	715.616	93.814	607.591	331229	300474	225359	101	0	1	0.00000012	0.00000178	0	2.531881
Bunny	0.200000	35292	70580	7060	14116	647.322	90.638	535.360	306592	245785	200722	86	0	1	0.00000004	0.00000030	0	2.514468
Bunny	0.300000	35292	70580	10589	21174	591.866	95.442	467.543	281906	192492	176036	72	0	1	0.00000002	0.00000010	0	2.485006
Bunny	0.400000	35292	70580	14118	28232	535.209	93.904	404.436	257215	143875	151345	58	0	1	0.00000001	0.00000004	0	2.422811
Bunny	0.500000	35292	70580	17647	35290	474.933	109.831	316.890	232569	102562	126699	47	0	1	0.00000001	0.00000002	0	2.374762
Bunny	0.600000	35292	70580	21176	42348	407.153	109.301	236.864	207846	68925	101976	38	0	1	0.00000000	0.00000001	0	2.339814
Bunny	0.700000	35292	70580	24705	49406	377.514	106.961	199.874	182943	43327	77073	31	0	1	0.00000000	0.00000001	0	2.318390
Bunny	0.800000	35292	70580	28234	56464	311.852	98.523	129.789	157790	23742	51920	23	0	1	0.00000000	0.00000000	0	2.252084
Bunny	0.900000	35292	70580	31763	63522	248.166	93.893	63.656	132270	9609	26400	12	0	1	0.00000000	0.00000000	0	2.181383
Cube	0.100000	8	12	4	4	0.048	0.012	0.030	33	33	15	7	0	1	0.87500000	1.50000000	0	1.758347
Cube	0.200000	8	12	4	4	0.044	0.011	0.028	33	33	15	7	0	1	0.87500000	1.50000000	0	1.758347
Cube	0.300000	8	12	4	4	0.041	0.011	0.025	33	20	15	1	0	1	0.87500000	1.50000000	0	1.758347
Cube	0.400000	8	12	4	4	0.041	0.011	0.025	33	20	15	1	0	1	0.87500000	1.50000000	0	1.758347
Cube	0.500000	8	12	5	6	0.036	0.011	0.019	30	11	12	0	0	1	0.66666667	1.00000000	0	1.758307
Cube	0.600000	8	12	6	8	0.039	0.015	0.016	26	2	8	0	0	1	0.50000000	0.50000000	0	1.441497
Cube	0.700000	8	12	6	8	0.034	0.011	0.015	26	2	8	0	0	1	0.50000000	0.50000000	0	1.441497
Cube	0.800000	8	12	7	10	0.030	0.012	0.008	22	1	4	0	0	1	0.50000000	0.50000000	0	1.776599
Cube	0.900000	8	12	7	10	0.031	0.012	0.009	22	1	4	0	0	1	0.50000000	0.50000000	0	1.776599
Dinosaur	0.100000	2002	4000	202	400	28.431	3.136	24.724	18659	16759	12659	10	0	1	7.52500404	105.45495331	0	2.626822
Dinosaur	0.200000	2002	4000	402	800	27.110	2.869	23.392	17275	13672	11275	9	0	1	2.67278029	20.36067322	0	2.810295
Dinosaur	0.300000	2002	4000	602	1200	24.291	3.050	20.047	15884	10330	9884	8	0	1	1.34506743	6.88976057	0	2.788466
Dinosaur	0.400000	2002	4000	802	1600	19.537	3.112	15.083	14469	6795	8469	6	0	1	0.79640306	2.89407003	0	2.669037
Dinosaur	0.500000	2002	4000	1002	2000	18.892	2.902	14.183	13066	4250	7066	4	0	1	0.52181485	1.54884352	0	2.653437
Dinosaur	0.600000	2002	4000	1202	2400	15.639	3.152	10.517	11682	2407	5682	4	0	1	0.36335324	0.86144163	0	2.625845
Dinosaur	0.700000	2002	4000	1402	2800	13.303	3.046	7.901	10281	1332	4281	3	0	1	0.26371504	0.51396516	0	2.560979
Dinosaur	0.800000	2002	4000	1602	3200	10.746	2.991	4.788	8888	744	2888	2	0	1	0.18462604	0.32866243	0	2.517159
Dinosaur	0.900000	2002	4000	1802	3600	9.013	3.148	2.947	7456	326	1456	2	0	1	0.10825830	0.18746429	0	2.483710
Dragon	0.100000	104855	209227	10489	20923	2616.995	541.827	2015.766	970537	876385	657450	491	2	1	0.00000369	0.00005614	0	3.171599
Dragon	0.200000	104855	209227	20961	41845	2448.554	540.596	1814.179	897669	714563	584582	390	2	1	0.00000125	0.00000905	0	3.039744
Dragon	0.300000	104855	209227	31435	62769	2168.036	512.920	1521.930	824953	566443	511866	327	1	1	0.00000066	0.00000312	0	3.012837
Dragon	0.400000	104855	209227	41905	83690	2038.998	529.880	1322.314	752139	429953	439052	284	0	1	0.00000041	0.00000148	0	2.977014
Dragon	0.500000	104855	209227	52376	104613	1805.217	533.209	1036.229	679549	287660	366462	246	0	1	0.00000028	0.00000077	0	2.902540
Dragon	0.600000	104855	209227	62846	125537	1601.500	493.049	831.126	607093	183900	294006	209	0	1	0.00000020	0.00000046	0	2.750877
Dragon	0.700000	104855	209227	73314	146458	1480.244	518.278	608.306	534309	115659	221222	174	0	1	0.00000014	0.00000030	0	2.588274
Dragon	0.800000	104855	209227	83785	167382	1319.447	511.830	386.988	460776	68061	147689	134	0	1	0.00000009	0.00000018	0	2.460475
Dragon	0.900000	104855	209227	94255	188305	1193.838	518.955	191.385	386398	31943	73311	99	0	1	0.00000004	0.00000009	0	2.342619
Horse	0.100000	48485	96966	4850	9696	979.618	119.353	836.190	453815	413656	308366	86	0	1	0.00000345	0.00005482	0	2.676791
Horse	0.200000	48485	96966	9699	19394	910.998	119.736	757.240	420131	332903	274682	79	0	1	0.00000103	0.00000861	0	2.597630
Horse	0.300000	48485	96966	14547	29090	850.504	140.052	670.098	386345	255707	240896	68	0	1	0.00000047	0.00000272	0	2.471694
Horse	0.400000	48485	96966	19395	38786	710.218	118.499	539.504	352471	191234	207022	51	0	1	0.00000025	0.00000112	0	2.382334
Horse	0.500000	48485	96966	24243	48482	648.571	125.804	456.522	318531	136416	173082	44	0	1	0.00000014	0.00000052	0	2.306732
Horse	0.600000	48485	96966	29092	58180	577.808	123.825	360.104	284342	93129	138893	38	0	1	0.00000009	0.00000026	0	2.249147
Horse	0.700000	48485	96966	33940	67876	449.202	114.564	248.123	250186	58226	104737	33	0	1	0.00000005	0.00000013	0	2.213599
Horse	0.800000	48485	96966	38788	77572	412.014	119.149	174.922	215589	30917	70140	19	0	1	0.00000003	0.00000006	0	2.157252
Horse	0.900000	48485	96966	43637	87270	325.214	117.142	78.148	180736	11339	35287	13	0	1	0.00000001	0.00000002	0	2.126525
Kitten	0.100000	24956	49912	2496	4992	417.836	60.642	348.159	229146	209341	154278	26	0	1	0.01688533	0.24717993	0	2.347464
Kitten	0.200000	24956	49912	4991	9982	415.863	61.104	341.325	211835	172337	136967	25	0	1	0.00583229	0.04220462	0	2.348902
Kitten	0.300000	24956	49912	7487	14974	369.019	66.604	281.220	194523	138062	119655	24	0	1	0.00304501	0.01497543	0	2.357675
Kitten	0.400000	24956	49912	9982	19964	324.903	57.704	243.760	177322	106614	102454	18	0	1	0.00183694	0.00692615	0	2.336126
Kitten	0.500000	24956	49912	12478	24956	292.099	64.740	198.997	160141	79967	85273	16	0	1	0.00116617	0.00377293	0	2.283094
Kitten	0.600000	24956	49912	14974	29948	278.454	56.118	187.516	143061	56545	68193	13	0	1	0.00073924	0.00213539	0	2.180147
Kitten	0.700000	24956	49912	17469	34938	228.962	62.720	119.281	125933	35970	51065	8	0	1	0.00044556	0.00118063	0	2.045529
Kitten	0.800000	24956	49912	19965	39930	195.917	64.054	84.836	108668	18990	33800	2	0	1	0.00024017	0.00058434	0	1.908365
Kitten	0.900000	24956	49912	22460	44920	152.934	60.542	38.415	91443	7499	16575	1	0	1	0.00009507	0.00021728	0	1.782352
Sphere	0.100000	10242	20480	1026	2048	132.957	18.152	111.535	95639	88646	64919	0	0	1	0.00001129	0.00019435	0	1.772382
Sphere	0.200000	10242	20480	2050	4096	120.075	20.029	95.081	88485	75033	57765	0	0	1	0.00000379	0.00003055	0	1.686968
Sphere	0.300000	10242	20480	3074	6144	91.849	15.922	70.188	81170	56267	50450	0	0	1	0.00000199	0.00000742	0	1.668480
Sphere	0.400000	10242	20480	4098	8192	86.326	18.272	60.817	74190	47797	43470	0	0	1	0.00000140	0.00000468	0	1.809202
Sphere	0.500000	10242	20480	5122	10240	83.115	18.927	54.051	67172	34448	36452	0	0	1	0.00000097	0.00000242	0	1.859651
Sphere	0.600000	10242	20480	6146	12288	68.557	20.119	38.419	59876	19296	29156	0	0	1	0.00000085	0.00000121	0	1.715879
Sphere	0.700000	10242	20480	7170	14336	63.738	17.311	33.675	52758	9662	22038	0	0	1	0.00000078	0.00000086	0	1.613558
Sphere	0.800000	10242	20480	8194	16384	55.339	18.678	22.634	45506	4402	14786	0	0	1	0.00000075	0.00000078	0	1.522242
Sphere	0.900000	10242	20480	9218	18432	44.320	16.166	12.304	38338	1770	7618	0	0	1	0.00000074	0.00000076	0	1.450615
Arma	0.500000	23201	46398	11601	23198	330.592	72.874	216.348	152194	61214	82597	53	0	1	0.00000418	0.00001202	0	2.769786
Arma	0.281000	23201	46398	6521	13038	413.680	87.366	303.551	187671	127206	118074	80	0	1	0.00001137	0.00005926	0	2.753322
