model	method	strategy	ratio	V_in	F_in	V_out	F_out	time_total_ms	time_build_ms	time_simplify_ms	heap_push	heap_pop	local_recompute_edges	skipped_invalid	nonmanifold_rejects	consistency_ok	qem_err_mean	qem_err_max	degenerate_faces	aspect_mean
Arma	shortest_edge	face_contract	0.500000	23201	46398	23201	46398	240.333	71.189	108.191	46398	46398	0	46398	0	1	0.00000000	0.00000000	0	2.197733
Arma	custom	face_contract	0.500000	23201	46398	23201	46398	261.517	75.332	119.844	46398	46398	0	46398	0	1	0.00000000	0.00000000	0	2.197733
Arma	qem	face_contract	0.500000	23201	46398	23201	46398	240.370	67.364	114.426	46398	46398	0	46398	0	1	0.00000000	0.00000000	0	2.197733
Arma	qem	edge_collapse	0.500000	23201	46398	11601	23198	295.756	78.335	186.310	152194	61214	82597	53	0	1	0.00000418	0.00001202	0	2.769786
Arma	shortest_edge	edge_collapse	0.500000	23201	46398	11601	23198	275.237	66.583	172.200	153345	45583	83748	44	0	1	0.00016558	0.00031262	0	1.778683
Arma	custom	edge_collapse	0.500000	23201	46398	11601	23198	279.817	66.482	177.362	152194	61214	82597	53	0	1	0.00000418	0.00001202	0	2.769786
Arma	qem	face_contract	0.500000	23201	46398	23201	46398	239.934	63.233	114.129	46398	46398	0	46398	0	1	0.00000000	0.00000000	0	2.197733
Arma	qem	edge_collapse	0.500000	23201	46398	11601	23198	276.340	60.539	183.451	152194	61214	82597	53	0	1	0.00000418	0.00001202	0	2.769786
Arma	shortest_edge	edge_collapse	0.500000	23201	46398	11601	23198	269.502	65.659	170.230	153345	45583	83748	44	0	1	0.00016558	0.00031262	0	1.778683
Arma	custom	edge_collapse	0.500000	23201	46398	11601	23198	275.977	64.097	182.904	152194	61214	82597	53	0	1	0.00000418	0.00001202	0	2.769786
Arma	qem	edge_collapse	0.806000	23201	46398	18700	37396	184.394	64.108	65.786	102264	12191	32667	15	0	1	0.00000130	0.00000257	0	2.384268
Arma	qem	face_contract	0.806000	23201	46398	23199	46394	244.483	64.018	123.741	46453	46453	55	46425	0	1	0.00001031	0.00001031	0	2.197666
Arma	qem	face_contract	0.239000	23201	46398	23199	46394	256.461	69.686	124.911	46453	46453	55	46425	0	1	0.00001031	0.00001031	0	2.197666
Arma	qem	face_contract	0.239000	23201	46398	23199	46394	265.621	66.823	139.288	46453	46453	55	46425	0	1	0.00001031	0.00001031	0	2.197666
Arma	qem	face_contract	0.184000	23201	46398	23199	46394	260.403	64.568	129.905	46453	46453	55	46425	0	1	0.00001031	0.00001031	0	2.197666
Arma	qem	vertex_delete	1.000000	23201	46398	23201	46398	127.224	64.986	0.000	23201	0	0	0	0	1	0.00000000	0.00000000	0	2.197733
Arma	qem	face_contract	0.500000	23201	46398	23199	46394	270.777	62.088	139.288	46453	46453	55	46425	0	1	0.00001031	0.00001031	0	2.197666
Arma	qem	face_contract	0.230000	23201	46398	23199	46394	287.699	70.954	137.931	46453	46453	55	46425	0	1	0.00001031	0.00001031	0	2.197666
Arma	qem	face_contract	0.230000	23201	46398	23199	46394	281.344	72.659	137.859	46453	46453	55	46425	0	1	0.00001031	0.00001031	0	2.197666
Arma	qem	face_contract	0.500000	23201	46398	23197	46390	471.115	58.907	346.476	46502	46502	104	46442	0	1	0.00000528	0.00001031	0	2.195271
Arma	qem	face_contract	0.246000	23201	46398	23197	46390	478.879	74.644	341.804	46502	46502	104	46442	0	1	0.00000528	0.00001031	0	2.195271
Arma	qem	face_contract	0.716000	23201	46398	23197	46390	482.708	73.787	345.551	46502	46502	104	46442	0	1	0.00000528	0.00001031	0	2.195271
Arma	qem	edge_collapse	0.500000	23201	46398	11601	23198	278.593	61.345	188.069	152194	61214	82597	53	0	1	0.00000418	0.00001202	0	2.769786
Arma	qem	face_contract	0.500000	23201	46398	11601	23198	244.571	61.238	152.988	370945	93585	324547	64	0	1	0.00001097	0.00002651	0	2.728805
Arma	qem	face_contract	0.625000	23201	46398	14501	28998	210.444	60.619	115.952	291394	45722	244996	41	0	1	0.00000787	0.00001574	0	2.559015
Arma	qem	face_contract	0.833000	23201	46398	19327	38650	154.646	57.199	46.978	156716	9761	110318	11	0	1	0.00000416	0.00000690	0	2.388171
Arma	qem	face_contract	0.233000	23201	46398	5407	10810	351.667	67.547	270.784	542868	354209	496470	187	7	1	0.00003801	0.00025486	0	2.997322
Arma	qem	face_contract	0.367000	23201	46398	8515	17026	293.894	57.871	215.592	455667	196995	409269	121	5	1	0.00001734	0.00006576	0	2.871019
Arma	qem	face_contract	0.468000	23201	46398	10859	21714	254.077	59.397	166.082	390923	112117	344525	72	0	1	0.00001204	0.00003149	0	2.762355
Arma	qem	face_contract	0.500000	23201	46398	11601	23198	263.455	62.411	166.121	370945	93585	324547	64	0	1	0.00001097	0.00002651	0	2.728805
Arma	qem	face_contract	0.389000	23201	46398	9025	18046	310.579	64.941	220.525	441568	174441	395170	104	2	1	0.00001582	0.00005404	0	2.848048
Arma	qem	face_contract	0.285000	23201	46398	6613	13222	346.843	65.106	261.767	508885	285798	462487	161	5	1	0.00002667	0.00014298	0	2.916850
Arma	shortest_edge	face_contract	0.285000	23201	46398	6613	13222	326.368	59.264	248.772	519861	288180	473463	112	14	1	0.00098078	0.00197610	0	2.114043
Arma	custom	face_contract	0.285000	23201	46398	6613	13222	345.584	61.296	268.300	508885	285803	462487	161	5	1	0.00002667	0.00014298	0	2.916850
Bunny	qem	edge_collapse	0.403000	35292	70580	14224	28444	495.169	76.198	379.730	256470	142367	150600	58	0	1	0.00000001	0.00000004	0	2.423310
Bunny	qem	edge_collapse	0.746000	35292	70580	26328	52652	296.235	85.445	138.248	171422	33604	65552	28	0	1	0.00000000	0.00000001	0	2.282957
Bunny	qem	edge_collapse	0.276000	35292	70580	9742	19480	560.197	92.898	441.810	287864	205187	181994	75	0	1	0.00000002	0.00000013	0	2.488282
Bunny	qem	face_contract	0.276000	35292	70580	9742	19480	537.327	79.088	434.688	787445	488851	716865	200	3	1	0.00000006	0.00000033	0	2.757705
Bunny	qem	face_contract	0.368000	35292	70580	12988	25972	479.122	82.742	364.263	697638	347122	627058	155	3	1	0.00000004	0.00000015	0	2.671762
Bunny	qem	face_contract	0.672000	35292	70580	23716	47428	306.132	82.554	167.217	401180	84568	330600	26	0	1	0.00000001	0.00000002	0	2.399540
Block	qem	edge_collapse	0.500000	2132	4272	1064	2136	27.751	4.943	20.558	14641	9739	8233	305	0	1	0.00000190	0.00003260	0	63.631703
Block	qem	edge_collapse	0.302000	2132	4272	641	1290	42.810	7.929	33.393	18057	11452	11649	397	0	1	0.00012561	0.00145336	0	15.199751
